"replicate_id","condition","iteration","best_distance_integral_score"
"transfer_3","two_dimensional_champion","12","-2.0934040439392456"
"transfer_3","two_dimensional_champion","13","-2.071205072387902"
"transfer_3","two_dimensional_champion","14","-2.0650485986532914"
"transfer_3","two_dimensional_champion","15","-2.0650485986532914"
"transfer_3","two_dimensional_champion","16","-2.0650485986532914"
"transfer_3","two_dimensional_champion","17","-2.04175315923128"
"transfer_3","two_dimensional_champion","18","-2.04175315923128"
"transfer_3","two_dimensional_champion","19","-2.031113828835938"
"transfer_3","two_dimensional_champion","20","-2.0212868807980473"
"transfer_3","two_dimensional_champion","21","-2.0212868807980473"
"transfer_3","two_dimensional_champion","22","-2.0212868807980473"
"transfer_3","two_dimensional_champion","23","-2.0212868807980473"
"transfer_3","two_dimensional_champion","24","-2.021146177517241"
"transfer_3","two_dimensional_champion","25","-2.021146177517241"
"transfer_3","two_dimensional_champion","26","-2.021146177517241"
"transfer_3","two_dimensional_champion","27","-2.021146177517241"
"transfer_3","two_dimensional_champion","28","-2.021146177517241"
"transfer_3","two_dimensional_champion","29","-2.021146177517241"
"transfer_3","two_dimensional_champion","30","-2.021146177517241"
"transfer_3","two_dimensional_champion","31","-2.0201795850268094"
"transfer_3","two_dimensional_champion","32","-2.0201795850268094"
"transfer_3","two_dimensional_champion","33","-2.0201795850268094"
"transfer_3","two_dimensional_champion","34","-2.0195948661000096"
"transfer_3","two_dimensional_champion","35","-2.0195948661000096"
"transfer_3","two_dimensional_champion","36","-2.0195948661000096"
"transfer_3","two_dimensional_champion","37","-2.0195948661000096"
"transfer_3","two_dimensional_champion","38","-2.0195948661000096"
"transfer_3","two_dimensional_champion","39","-2.0195948661000096"
"transfer_3","two_dimensional_champion","40","-2.0195948661000096"
