case_id,stage,phase_id,ablation,termination,peak_abs_crossflow_time_T,peak_abs_crossflow_signed_value_U,peak_abs_crossflow_magnitude_U,peak_abs_crossflow_distance_L,peak_abs_crossflow_bearing_rad,peak_abs_yaw_moment_time_T,peak_abs_yaw_moment_signed_value_L2,global_yaw_moment_peak_time_minus_crossflow_peak_time_T,crossflow_response_window_T,crossflow_response_window_clock_basis,crossflow_response_window_coverage_tolerance_T,crossflow_response_window_coverage_T,crossflow_response_window_complete,crossflow_response_lateral_force_rms,crossflow_response_peak_abs_lateral_force,crossflow_response_peak_abs_lateral_force_lag_T,crossflow_response_yaw_moment_rms,crossflow_response_peak_abs_yaw_moment,crossflow_response_peak_abs_yaw_moment_lag_T,crossflow_response_yaw_rate_rms,crossflow_response_peak_abs_yaw_rate,crossflow_response_peak_abs_yaw_rate_lag_T
iteration_19__phase_0__bearing_steering,iteration_19,phase_0,bearing_steering,left_domain,30.26092529296875,-0.5710728764533997,0.5710728764533997,8.884851455688477,0.9600803852081299,21.257476806640625,0.4757605452653024,-9.003448486328125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,26.004566628069362,51.0341011532495,0.055023193359375,0.11628081258056133,0.2870923988418781,0.2860107421875,1.9022569699740404,3.059912919998169,0.22003173828125
iteration_19__phase_1__bearing_steering,iteration_19,phase_1,bearing_steering,left_domain,13.442047119140625,0.5239574313163757,0.5239574313163757,12.82220458984375,0.880276083946228,11.946029663085938,0.5958700202386353,-1.4960174560546875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,28.824091121485296,71.11598224212374,0.3354949951171875,0.12105380159931477,0.3270996482915507,0.23651123046875,2.1304407378997468,3.2031149864196777,0.52801513671875
iteration_19__phase_2__bearing_steering,iteration_19,phase_2,bearing_steering,left_domain,7.908966064453125,-0.5356283783912659,0.5356283783912659,12.911551475524902,1.265535593032837,13.398040771484375,0.4938363414997866,5.48907470703125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,46.738961282913266,143.80179889012015,0.4840087890625,0.16541882953071757,0.48843540034752664,0.467498779296875,1.7982238423525148,2.985278367996216,0.313507080078125
iteration_19__phase_0__phase_asymmetry,iteration_19,phase_0,phase_asymmetry,target_reached,42.069488525390625,0.6797739863395691,0.6797739863395691,2.4790492057800293,-0.25417864322662354,14.470489501953125,1.7270237842183178,-27.5989990234375,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,52.8643944503019,131.81314313807536,0.5169830322265625,0.1898045920231696,0.48140260576667515,0.126495361328125,2.183869954592945,3.508894205093384,0.3189849853515625
iteration_19__phase_1__phase_asymmetry,iteration_19,phase_1,phase_asymmetry,target_reached,41.38764953613281,0.6817418336868286,0.6817418336868286,3.4537315368652344,-0.23208077251911163,13.398040771484375,2.1995603522375404,-27.989608764648438,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,41.546392513380034,104.40935583243026,0.1374969482421875,0.1650490076586246,0.3952943330052676,0.1209869384765625,2.1121343123129592,3.4382972717285156,0.3079986572265625
iteration_19__phase_2__phase_asymmetry,iteration_19,phase_2,phase_asymmetry,target_reached,43.224517822265625,0.6886860132217407,0.6886860132217407,4.2280449867248535,-0.1047901138663292,17.792449951171875,-2.9467169376148377,-25.43206787109375,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,39.559656786984085,114.8016120339708,0.14849853515625,0.1601014788041752,0.40700308826035325,0.1320037841796875,2.1319932337472274,3.4198875427246094,0.313507080078125
iteration_19__phase_0__response_burst,iteration_19,phase_0,response_burst,target_reached,29.221435546875,-0.6850401163101196,0.6850401163101196,4.288857936859131,0.2662683129310608,9.635986328125,-2.1662418822059237,-19.58544921875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,44.961463851185094,149.3909398581686,0.0164794921875,0.16256729236137538,0.48582937524975023,0.0164794921875,2.476913984263924,3.6297225952148438,0.506011962890625
iteration_19__phase_1__response_burst,iteration_19,phase_1,response_burst,target_reached,29.304107666015625,-0.6774003505706787,0.6774003505706787,5.087493419647217,0.345079243183136,9.48748779296875,3.190302729564941,-19.816619873046875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,43.27120248931263,122.43045749712846,0.03851318359375,0.1598887150814234,0.4469668359611205,0.0605010986328125,2.30603512776722,3.621108055114746,0.53900146484375
iteration_19__phase_2__response_burst,iteration_19,phase_2,response_burst,target_reached,35.618072509765625,0.7046715021133423,0.7046715021133423,3.2337725162506104,-0.2777785360813141,9.025482177734375,3.7767503296245195,-26.59259033203125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,61.1988671535371,165.96495827184026,0.511474609375,0.20616187751252824,0.5050030698601518,0.50048828125,2.1632553775331367,3.515899896621704,0.302490234375
iteration_19__phase_0__crossflow_force_assistance,iteration_19,phase_0,crossflow_force_assistance,target_reached,27.296401977539062,-0.7096845507621765,0.7096845507621765,4.023049831390381,0.2852303981781006,7.65594482421875,5.039666898172811,-19.640457153320312,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,28.105901469635615,94.43170614852181,0.3849945068359375,0.13043531096661543,0.3536291645950769,0.3849945068359375,2.382558962264182,3.658405303955078,0.5279998779296875
iteration_19__phase_1__crossflow_force_assistance,iteration_19,phase_1,crossflow_force_assistance,target_reached,27.43408203125,-0.7088146209716797,0.7088146209716797,4.595949172973633,0.34423190355300903,10.670013427734375,-4.330247548553928,-16.764068603515625,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,35.82649060350835,87.5271229503669,0.3905029296875,0.14601022568570135,0.39883211902815674,0.35198974609375,2.417859648017167,3.669597625732422,0.5225067138671875
iteration_19__phase_2__crossflow_force_assistance,iteration_19,phase_2,crossflow_force_assistance,target_reached,8.5689697265625,0.7956662178039551,0.7956662178039551,12.24434757232666,0.28734391927719116,7.012451171875,-6.2307471849084095,-1.5565185546875,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,503.626972102745,2097.3952994239016,0.0275115966796875,1.2032197822021313,5.137513928570115,0.0,2.3879886229294276,3.566474199295044,0.5170135498046875
iteration_19__phase_0__moment_assistance,iteration_19,phase_0,moment_assistance,target_reached,27.213897705078125,-0.6992264986038208,0.6992264986038208,3.9156246185302734,0.3157605528831482,6.896942138671875,4.136163914449199,-20.31695556640625,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,28.311958120130015,81.0424550080237,0.3740234375,0.13300639415857035,0.35253882272294845,0.3740234375,2.412034033658668,3.665435314178467,0.5225067138671875
iteration_19__phase_1__moment_assistance,iteration_19,phase_1,moment_assistance,target_reached,27.467071533203125,-0.6958096027374268,0.6958096027374268,4.59706974029541,0.3346301019191742,9.207000732421875,-5.9578356824390255,-18.26007080078125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,30.210082618496106,70.2138005541633,0.0,0.13186984792266362,0.2886752421172787,0.0164947509765625,2.3174867737635014,3.6600193977355957,0.5390167236328125
iteration_19__phase_2__moment_assistance,iteration_19,phase_2,moment_assistance,target_reached,7.045440673828125,0.7666576504707336,0.7666576504707336,12.415939331054688,0.3197832703590393,7.045440673828125,5.625476627855278,0.0,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,557.4102247233279,2302.670695048414,0.0275115966796875,1.328624546032255,5.625476627855278,0.0,2.3725915521258303,3.502902030944824,0.52252197265625
iteration_19__phase_0__speed_release,iteration_19,phase_0,speed_release,target_reached,28.022415161132812,-0.7110803723335266,0.7110803723335266,3.789965867996216,0.32989445328712463,6.913421630859375,4.835771760167219,-21.108993530273438,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,43.56683258363991,152.64612142341255,0.0110015869140625,0.15882151890228782,0.5804790378347207,0.0110015869140625,2.35012915466983,3.668231725692749,0.5334930419921875
iteration_19__phase_1__speed_release,iteration_19,phase_1,speed_release,target_reached,9.146484375,0.8318966627120972,0.8318966627120972,12.020421981811523,0.26686596870422363,9.162994384765625,5.486149959898796,0.016510009765625,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,523.8725885773421,2309.123794942816,0.016510009765625,1.24008831468353,5.486149959898796,0.016510009765625,2.4157874110400543,3.579456090927124,0.5170135498046875
iteration_19__phase_2__speed_release,iteration_19,phase_2,speed_release,target_reached,7.7769622802734375,0.8312899470329285,0.8312899470329285,12.376982688903809,0.3004150092601776,7.83197021484375,6.186350712206604,0.0550079345703125,0.55,row_order_cumulative_dt_T,1e-09,0.55,True,686.5978512504691,2519.3630234021084,0.0550079345703125,1.6557278900569636,6.186350712206604,0.0550079345703125,2.275405381561056,3.5381758213043213,0.5445098876953125
