"case_id","event","episode_time_T","absolute_sim_time_T","distance_L","bearing_rad","relative_crossflow_body_y_U","body_axis_force","yaw_moment_z_L2","vtk_available","vtk_synchronized","vtk_synchronization_tolerance_T","vtk_frame_index","vtk_sim_time_T","vtk_time_delta_T"
"iteration_12__phase_0__nominal","final","34.70501708984375","234.70501708984375","0.750413179397583","-0.41529014706611633","-0.15190327167510986","3.5386159093004013","0.10123990733677601","True","True","0.05","4","234.71051025390625","0.0054931640625"
"iteration_18__phase_0__nominal","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_18__phase_0__nominal","peak_absolute_crossflow","27.956405639648438","227.95640563964844","3.7959513664245605","0.3030226230621338","-0.720943808555603","-29.410318246327286","-0.24914958372579576","True","False","0.05","3","225.00302124023438","-2.9533843994140625"
"iteration_18__phase_0__nominal","peak_absolute_yaw_moment","6.10491943359375","206.10491943359375","12.463134765625","0.25836846232414246","0.6181259155273438","-525.5259613100748","3.2334792618394204","True","False","0.05","1","200.0054931640625","-6.09942626953125"
"iteration_18__phase_0__nominal","first_near_target","31.06396484375","231.06396484375","2.2489895820617676","-0.1787557750940323","0.4756162166595459","-9.145535020545193","0.13601678126815386","True","False","0.05","4","233.94601440429688","2.882049560546875"
"iteration_18__phase_0__nominal","final","33.94050598144531","233.9405059814453","0.752716064453125","-0.51639324426651","0.17340010404586792","-15.556006646256108","0.22685238585609113","True","True","0.05","4","233.94601440429688","0.0055084228515625"
"iteration_19__phase_0__bearing_steering","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_19__phase_0__bearing_steering","peak_absolute_crossflow","30.26092529296875","230.26092529296875","8.884851455688477","0.9600803852081299","-0.5710728764533997","3.606052827734596","-0.10045869690702602","True","False","0.05","3","225.00302124023438","-5.257904052734375"
"iteration_19__phase_0__bearing_steering","peak_absolute_yaw_moment","21.257476806640625","221.25747680664062","10.612626075744629","0.3018473982810974","0.24518005549907684","-41.731570750120284","0.4757605452653024","True","False","0.05","3","225.00302124023438","3.74554443359375"
"iteration_19__phase_0__bearing_steering","final","51.974945068359375","251.97494506835938","10.92341423034668","1.1090201139450073","0.0165804922580719","2.5995395271870656","0.008916522879985678","True","True","0.05","6","251.98045349121094","0.0055084228515625"
"iteration_19__phase_0__phase_asymmetry","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_19__phase_0__phase_asymmetry","peak_absolute_crossflow","42.069488525390625","242.06948852539062","2.4790492057800293","-0.25417864322662354","0.6797739863395691","-9.491475488478947","0.18139033377792657","True","False","0.05","5","245.72702026367188","3.65753173828125"
"iteration_19__phase_0__phase_asymmetry","peak_absolute_yaw_moment","14.470489501953125","214.47048950195312","13.236133575439453","0.5232332944869995","0.4077392816543579","-285.37314691551956","1.7270237842183178","True","False","0.05","2","212.50152587890625","-1.968963623046875"
"iteration_19__phase_0__phase_asymmetry","first_near_target","42.575469970703125","242.57546997070312","2.2488656044006348","0.2133893221616745","-0.5778173208236694","40.31398926853457","0.08190176192467646","True","False","0.05","5","245.72702026367188","3.15155029296875"
"iteration_19__phase_0__phase_asymmetry","final","45.721527099609375","245.72152709960938","0.7529562711715698","-0.615006685256958","0.16585761308670044","2.0406859869746783","0.03473755774906806","True","True","0.05","5","245.72702026367188","0.0054931640625"
"iteration_19__phase_0__response_burst","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_19__phase_0__response_burst","peak_absolute_crossflow","29.221435546875","229.221435546875","4.288857936859131","0.2662683129310608","-0.6850401163101196","-39.22794434355","-0.39408417018967157","True","False","0.05","3","225.00302124023438","-4.218414306640625"
"iteration_19__phase_0__response_burst","peak_absolute_yaw_moment","9.635986328125","209.635986328125","12.258157730102539","0.26555100083351135","0.17360007762908936","393.03388310535314","-2.1662418822059237","True","False","0.05","2","212.50152587890625","2.86553955078125"
"iteration_19__phase_0__response_burst","first_near_target","33.50047302246094","233.50047302246094","2.2477495670318604","0.3635922968387604","-0.40555331110954285","6.5265049858481","-0.031776106164759454","True","False","0.05","4","236.4705352783203","2.970062255859375"
"iteration_19__phase_0__response_burst","final","36.46502685546875","236.46502685546875","0.7503118515014648","-0.27915874123573303","0.5224006175994873","-8.616444459085791","0.1575566422375232","True","True","0.05","4","236.4705352783203","0.0055084228515625"
"iteration_19__phase_0__crossflow_force_assistance","release","0.0","200.0","12.423931121826172","0.15332452952861786","-0.15811479091644287","0.16120408815296705","0.0017703002892339725","True","True","0.05","1","200.0054931640625","0.0054931640625"
"iteration_19__phase_0__crossflow_force_assistance","peak_absolute_crossflow","27.296401977539062","227.29640197753906","4.023049831390381","0.2852303981781006","-0.7096845507621765","-22.76073236757449","-0.2755677053905856","True","False","0.05","3","225.00302124023438","-2.2933807373046875"
